Resource,Language,Field,Designation,Size
N/A,C++,Big Data,Classes,3938
dmtk,C++,Big Data,Tools,3938
N/A,C++,Data Mining,Books,3938
N/A,C++,Data Mining,Classes,3938
N/A,C++,Data Mining,Tools,3938
N/A,C++,Data Visualization,Books,3938
N/A,C++,Data Visualization,Classes,3938
VTK,C++,Data Visualization,Tools,3938
Qwt,C++,Data Visualization,Tools,3938
N/A,C++,Statistics,Books,3938
N/A,C++,Statistics,Classes,3938
Stan,C++,Statistics,Tools,3938
Modeling With Data,C++,Machine Learning,Books,3938
N/A,C++,Machine Learning,Classes,3938
vowpal rabbit,C++,Machine Learning,Tools,3938
ROOT,C++,Machine Learning,Tools,3938
BAT,C++,Machine Learning,Tools,3938
MeTA,C++,Machine Learning,Tools,3938
frog,C++,Machine Learning,Tools,3938
Kaldi,C++,Machine Learning,Tools,3938
BLLIP Parser,C++,Machine Learning,Tools,3938
caffe,C++,Machine Learning,Tools,3938
Fido,C++,Machine Learning,Tools,3938
DeepDetect,C++,Machine Learning,Tools,3938
EBLearn,C++,Machine Learning,Tools,3938
VIGRA,C++,Machine Learning,Tools,3938
DSSTNE,C++,Machine Learning,Tools,3938
Timbl,C++,Machine Learning,Tools,3938
DLib,C++,Machine Learning,Tools,3938
CNTK,C++,Machine Learning,Tools,3938
N/A,C++,Web Apps,Books,3938
N/A,C++,Web Apps,Classes,3938
.Net,C++,Web Apps,Tools,3938
Scala for the Impatient,Scala,Other,Books,3938
Scala for the Impatient,Scala,Other,Classes,3938
Breeze,Scala,Other,Tools,3938
zerial,Scala,Other,Tools,3938
Algebird,Scala,Other,Tools,3938
Scala for Data Science,Scala,Big Data,Books,3938
Big Data Analysis with Scala and Spark (Coursera),Scala,Big Data,Classes,3938
MLlib,Scala,Big Data,Tools,3938
Scalding,Scala,Big Data,Tools,3938
Conjecture,Scala,Big Data,Tools,3938
Summing Bird,Scala,Big Data,Tools,3938
Scala Data Analysis Cookbook,Scala,Data Mining,Books,3938
Scala for Data Science,Scala,Data Mining,Classes,3938
scala-scraper,Scala,Data Mining,Tools,3938
Scala Data Analysis Cookbook,Scala,Data Visualization,Books,3938
Scala for Data Science,Scala,Data Visualization,Classes,3938
Bokeh-Scala,Scala,Data Visualization,Tools,3938
lightning-scala,Scala,Data Visualization,Tools,3938
Scala for Data Science,Scala,Statistics,Books,3938
Scala for Data Science,Scala,Statistics,Classes,3938
Breeze,Scala,Statistics,Tools,3938
Scala for Machine Learning,Scala,Machine Learning,Books,3938
N/A,Scala,Machine Learning,Classes,3938
Saul,Scala,Machine Learning,Tools,3938
ScalaNLP,Scala,Machine Learning,Tools,3938
Chlak,Scala,Machine Learning,Tools,3938
FACTORIE,Scala,Machine Learning,Tools,3938
ganitha,Scala,Machine Learning,Tools,3938
Figaro,Scala,Machine Learning,Tools,3938
Wolfe,Scala,Machine Learning,Tools,3938
PredictionIO,Scala,Machine Learning,Tools,3938
DynaML,Scala,Machine Learning,Tools,3938
adam,Scala,Machine Learning,Tools,3938
bioscala,Scala,Machine Learning,Tools,3938
BIDMach,Scala,Machine Learning,Tools,3938
Modern Web Development with Scala,Scala,Web Apps,Books,3938
N/A,Scala,Web Apps,Classes,3938
Scalatra,Scala,Web Apps,Tools,3938
Go in Action,Go,Other,Books,3938
N/A,Go,Other,Classes,3938
go-graph,Go,Other,Tools,3938
N/A,Go,Big Data,Books,3938
N/A,Go,Big Data,Classes,3938
N/A,Go,Big Data,Tools,3938
N/A,Go,Data Mining,Books,3938
N/A,Go,Data Mining,Classes,3938
N/A,Go,Data Mining,Tools,3938
N/A,Go,Data Visualization,Books,3938
N/A,Go,Data Visualization,Classes,3938
SVGo,Go,Data Visualization,Tools,3938
N/A,Go,Statistics,Books,3938
N/A,Go,Statistics,Classes,3938
golang-stats,Go,Statistics,Tools,3938
N/A,Go,Machine Learning,Books,3938
N/A,Go,Machine Learning,Classes,3938
N/A,Go,Machine Learning,Tools,3938
Go Learn,Go,Machine Learning,Tools,3938
RF,Go,Machine Learning,Tools,3938
gobrain,Go,Machine Learning,Tools,3938
GoNN,Go,Machine Learning,Tools,3938
go-galib,Go,Machine Learning,Tools,3938
go-pr,Go,Machine Learning,Tools,3938
go-ml,Go,Machine Learning,Tools,3938
N/A,Go,Web Apps,Books,3938
N/A,Go,Web Apps,Classes,3938
Revel,Go,Web Apps,Tools,3938
N/A,MatLab,Other,Books,3938
N/A,MatLab,Other,Classes,3938
N/A,MatLab,Other,Tools,3938
N/A,MatLab,Big Data,Books,3938
N/A,MatLab,Big Data,Classes,3938
N/A,MatLab,Big Data,Tools,3938
N/A,MatLab,Data Mining,Books,3938
N/A,MatLab,Data Mining,Classes,3938
N/A,MatLab,Data Mining,Tools,3938
N/A,MatLab,Data Visualization,Books,3938
N/A,MatLab,Data Visualization,Classes,3938
matlab_gbl,MatLab,Data Visualization,Tools,3938
N/A,MatLab,Statistics,Books,3938
N/A,MatLab,Statistics,Classes,3938
N/A,MatLab,Statistics,Tools,3938
N/A,MatLab,Machine Learning,Books,3938
N/A,MatLab,Machine Learning,Classes,3938
N/A,MatLab,Machine Learning,Tools,3938
NLP,MatLab,Machine Learning,Tools,3938
LibSVM,MatLab,Machine Learning,Tools,3938
LibLInear,MatLab,Machine Learning,Tools,3938
PRMLT,MatLab,Machine Learning,Tools,3938
PRT,MatLab,Machine Learning,Tools,3938
Optunity,MatLab,Machine Learning,Tools,3938
N/A,MatLab,Web Apps,Books,3938
N/A,MatLab,Web Apps,Classes,3938
N/A,MatLab,Web Apps,Tools,3938
N/A,Lua,Other,Books,3938
N/A,Lua,Other,Classes,3938
cephes,Lua,Other,Tools,3938
randomkit,Lua,Other,Tools,3938
optim,Lua,Other,Tools,3938
SciLua,Lua,Other,Tools,3938
Lunum,Lua,Other,Tools,3938
imgraph,Lua,Other,Tools,3938
videograph,Lua,Other,Tools,3938
stitch,Lua,Other,Tools,3938
N/A,Lua,Big Data,Books,3938
N/A,Lua,Big Data,Classes,3938
N/A,Lua,Big Data,Tools,3938
N/A,Lua,Data Mining,Books,3938
N/A,Lua,Data Mining,Classes,3938
N/A,Lua,Data Mining,Tools,3938
N/A,Lua,Data Visualization,Books,3938
N/A,Lua,Data Visualization,Classes,3938
N/A,Lua,Data Visualization,Tools,3938
N/A,Lua,Statistics,Books,3938
N/A,Lua,Statistics,Classes,3938
N/A,Lua,Statistics,Tools,3938
N/A,Lua,Machine Learning,Books,3938
N/A,Lua,Machine Learning,Classes,3938
N/A,Lua,Machine Learning,Tools,3938
signal,Lua,Machine Learning,Tools,3938
nn,Lua,Machine Learning,Tools,3938
rnn,Lua,Machine Learning,Tools,3938
dp,Lua,Machine Learning,Tools,3938
unsup,Lua,Machine Learning,Tools,3938
fex,Lua,Machine Learning,Tools,3938
Torch,Lua,Machine Learning,Tools,3938
svm,Lua,Machine Learning,Tools,3938
OpenGM,Lua,Machine Learning,Tools,3938
manifold,Lua,Machine Learning,Tools,3938
N/A,Lua,Web Apps,Books,3938
N/A,Lua,Web Apps,Classes,3938
N/A,Lua,Web Apps,Tools,3938
N/A,Ruby,Other,Books,3938
N/A,Ruby,Other,Classes,3938
Glean,Ruby,Other,Tools,3938
SciRuby,Ruby,Other,Tools,3938
N/A,Ruby,Big Data,Books,3938
N/A,Ruby,Big Data,Classes,3938
N/A,Ruby,Big Data,Tools,3938
N/A,Ruby,Data Mining,Books,3938
N/A,Ruby,Data Mining,Classes,3938
N/A,Ruby,Data Mining,Tools,3938
N/A,Ruby,Data Visualization,Books,3938
N/A,Ruby,Data Visualization,Classes,3938
plot-rb,Ruby,Data Visualization,Tools,3938
scruffy,Ruby,Data Visualization,Tools,3938
data-visualization-ruby,Ruby,Data Visualization,Tools,3938
N/A,Ruby,Statistics,Books,3938
N/A,Ruby,Statistics,Classes,3938
N/A,Ruby,Statistics,Tools,3938
N/A,Ruby,Machine Learning,Books,3938
N/A,Ruby,Machine Learning,Classes,3938
N/A,Ruby,Machine Learning,Tools,3938
Treat,Ruby,Machine Learning,Tools,3938
Ruby Linguistics,Ruby,Machine Learning,Tools,3938
Ruby Machine Learning,Ruby,Machine Learning,Tools,3938
Bioruby,Ruby,Machine Learning,Tools,3938
rb-libsvm,Ruby,Machine Learning,Tools,3938
classfier,Ruby,Machine Learning,Tools,3938
N/A,Ruby,Web Apps,Books,3938
N/A,Ruby,Web Apps,Classes,3938
N/A,Ruby,Web Apps,Tools,3938
